l7GQ-fR-DsA	tea
afb28cAWV_w	check in
gE883EEH3WI	check out
QdiKnhKu3Pg	coach (train)
qEOrCwNK4gQ	escalator
A20dc_CbsOI	flyover (road)
UkSdeCAoyf4	foot overbridge, FOB
PdgRb3YYGj4	headlights
ZxMl7WupsCs	highway
ySbvp8Muwvc	journey
fn61i_ohuzo	land
KtqVf861Ryo	luggage
dnsRlHbxskg	moving walkway, autowalk, travelator
IQuuW-kzcYk	number plate
AabigWwAub0	oil tanker train, petrol train
MOJwHWVvL3k	parachute
xTJVsRjzzDY	passenger
Mi-E645kUuM	passport
Q3Mm46vC4MU	pedestrian 2
V78QfYH5a_I	pedestrian
Y8o28lg8g8M	platform
RwVNvjbOhzY	puncture
yqHDrmTNZJA	raft
wSlvBCTgnOM	railfanning, railfan
otaxVNPOxXE	ramp
baqmZBIjApg	signal lights, turn lights, blinkers
J_ru15E5oCQ	speed breaker, speed bump
9Av4Bs2x790	sports car
ZfJ2KSFDB88	taillights
GZixK09MCCc	take off plane, etc
3oKBHpxyGkE	toll, toll road, toll booth 2
PoXm-8QwmQA	traffic
IVoFeLirWdU	water tanker
ZIj9M6WCtmk	3G
8_ABMwjJayU	4G
2QqT8tXM920	age
CNg2vcOjSjg	ant
w3LgNPrFQqg	app
7rBBPLdjCAI	area sign 1
d0pqR2XygBI	bag
vog3MDdS_eA	bat
FViUKGxAKDg	Bihar
MC5HmO8Iv7A	cat sign 1
4fU0DaBpOMU	chair
pdLj3hXV0q8	cook
kwNonrH9C9o	divide, cup up
UC5Hk1fVoz8	exam
C1xsvnOrw-U	example
BGCBBQMIkT4	fact sign 1
1NJDbR20l4Q	far
KCl_t-uVljA	farm
MYy6xl7axI0	fast sign 1
QUK4yi0T6sg	fire extingulisher
Bw5ArWRzpAY	fire
ueZcHW9o0vE	first
ZvDppMacAWQ	fish sign 1
VolUarmE5TI	flower
dTI8mMq81eM	food
LDF2uGpkacM	foot body part
SRyhqX1FGTs	football sign 1
KiFFLIOVQSw	footpath
MKdAjTyFlTs	garden sign 1
_nk1-VCmkt4	general
hKaYz08MOn8	glass
CMmQ1rh-5hQ	go
uTUrAaUrLG0	Goa sign 1
8XLg8rLK4zE	good sign 1
jnRmB9dUdoE	Google
1vV2cuwR8J4	guide
EiRkAvi2KDY	hat
hDsmZPfUGzc	have
DrNfHyG38aw	he
nD1AtvfpjBo	head
L4hUGjBoHhM	health
bWc6F_nFrSU	hearing
1xIWUqBGkhA	her, hers
XtMJcffJ2NM	his
xNlUex-09ps	history
le47lyX3fTw	Holi
XK2B5G3hshs	holiday sign 1
ke8JRiFHx3g	hot
2IGopEPe4kM	in
hjbpSOoOBmw	India sign 1
Ux_YGaPJEWM	Indian Sign Language ISL sign 1
glElB8GuUdo	insect sign 1
Mxyf1OWorLU	institution
__nA26iPvDY	international sign 1
HJsB9KZayR8	it
Aresava8ILw	jacket
rjtiytyx4f4	jail
AUBirrdj6CU	Jew
HxXeCum9-NI	job sign 1
-iI-2pvNmWQ	join sign 1
LeroNx_sYRU	key
GTsvj01_GEk	know
NJXgYEHR938	language
qHqNzbIsJoM	law sign 1
PSsbogF9zc0	letter
EGlxroI9IA0	level sign 1
e7nXruVJmDU	lift sign 1
tJOMkVMkYDw	limit
X4MKNq2aWN8	line
7GZjj9dm5wg	link, connect, associate
rVt3yJrZDaM	live
KPkyBLZqLAQ	local
BCr13Cd0WGU	magnet
ArHtJGLCEL8	make sign 1
KTnQ_qP1iP4	man
YW3Kif98Oow	market
C-siuge6Zw0	mean sign 1
Lj0AVXnIUaA	measure
G7v5KIJAMYY	meet
qQEpla3dyaE	meeting sign 1
Jcr46tdC1jE	method
XVrw-Q9SwHw	mix
eJQBhVEwzBo	model
JidnDFzosWc	motor
eEmeaYzkSnA	move
2QOUHCUeE3A	movement
LiPPnLYbv3I	my
Colw2APRlh4	national sign 1
K8tffkN-zZA	neck sign 1
Kb59JvSEQlQ	needle
_QzAxW9t99Y	new
8y-SO8v4IXs	next sign 1
r2knl7Ggucs	zoo sign 1
jhUxM_Z4Pmc	your
B1zs0uEb9aI	you
huwLYnZ6dMA	work sign 1
OHAXiwiJbVI	word
vcZdf7pZzq8	wood
IGLajxnXGIU	window
cFjUHShgisE	wind
_xLBWshEUeI	win
X4dh5KZPtEw	white
Zk_8W3_6jo4	what
F27rqpBEaI8	weather
hNkBC1bIFz8	we
iFW-jmBq7wc	water
_NaWDiiXaJs	waste
wB-y65blfP4	war sign 1
zg0Q9wBoYJw	wall
NxkQZxDoUI8	video sign 1
cJ4I6c7G3Z8	vegetables
IV8-GgMjOzM	up
Qxfqf8Ic3BQ	under
6jKKol4T_bM	turn
1d3lybO4T44	tree sign 1
iM1xMAR0_WQ	train sign 1
zSEM84Dvr9Q	traffic
vE_hLelUl-4	time
Be6EmWFr4Mo	third
DNevtPPZW0I	technology
HhgJ2Je_cSs	teacher
ClqG0IIVDBA	teach
YQSQml2ePQM	tea
pq5SXbxVJXE	tall sign 1
WTZ8fCnM90g	take
p6nDCJqzPt0	system
Oi0V4l8oMA0	sun
X6K875xpliA	steel
EfEk1WUTZbw	student
PHSrCBDdcw4	star sign 1
u1vwlvGFVzE	sports
TuAImrOlx4E	special sign 1
s_OImSAKQGA	son
DdLcNUoMf1c	some
Ua6A-7CsIi0	soil
KSEmfVTtiEc	social sign 1
d_HoIRDXQLs	size sign 1
35i0qoRJLEg	sit sign 1
BRv6LQ_W5cs	sing
q_tAK83vUbM	sign language
FFWmw4NnW7g	should
Vic860ZbJtI	sheep sign 1
GGc4VrmWcBg	she
qHiphiK56Vc	sex
w79c6PAZTzo	seventh
SZ_qYfBPsR8	set
QgLB-uDMkl8	service
9KKERN50i8g	self
YA60JWgFuYQ	seed sign 1
7ZzerQxIzp4	see
KgZPc7xRPU0	secret sign 1
GAWb0POgc7I	season
560humDp3J0	search
xc7UVlfapUs	sea
_UQrz5J8Ook	school
AX7enrjZ3po	sand
LWw8SXYhulA	safe sign 1
GTFUkLU6PPQ	rule
ebmhe4dOwOw	road
aDveQxJVXgo	ring
RP3l4P1JbFQ	right
eqziG6VXoEg	return
J_sHVHwa7Z0	retire
toUWm42fWKk	rest
CasOkkSNwmA	report
X5DliA6RMf4	red
wB_IFLoc1yE	read
bkUhGUjl_mU	Pull yourself together
MgQBvt_pZkY	public
HVi_YOScjFw	protect
FOXSgzuk6Q8	proof sign 1
YHTRN8vj8s0	program
cMGFR_GEjyU	prevent
cIrSgpTzZuM	post
FzsVgmsJCmE	pond
B03PYw0Qe3k	policy sign 1
g9D6A6J5GSo	police
gldUPLf591Y	play
TKVTfYbgQnQ	plate sign 1
zZ1lMjkYprg	plan
a4kjjZ8UUq8	pick sign 1
1IVmX0dfoUY	phone
FeI4fO1nhnE	personal sign 1
5blOEOqlkZ0	person
bFX5HfWddvU	pen sign 1
jypsSrTTBTM	pay
F19wLC7JkUs	pass
ciKoJA7fuQc	party
nuvipygpYJ4	pain sign 1
6vncQrNvwTM	ox
fqLFUdlFvVc	over sign 1
C65MI7t4gjU	open sign 1
1Omq5hRWTo4	on
rCvWNwj0b_A	office
j9LB5Aa8ITw	Numbers 0 1 crore
oa1h4fdd6wk	number
RQ0hRtZLmKs	no sign 1
ee81RfWTEq0	Baby
ndWSkV2_cyg	Cloth
v6aVeWHJcAM	Circle
oc1QLrNsBVA	Breath
FwICUFQD7xk	Breakfast
FBngX7K4yaI	Boy
rvo7UdZuupQ	Badminton 1
rJzNEeHExF8	Badminton 2
_iNUANTcSRE	Crayon
UwRKMENudVw	Cone
0DHQ4dMCMew	Coffee
ORB63ZRex8s	Butter
Gg29FvYfcgk	February
y1xcO2sgnho	Fat
L6KMqJkM32A	Art
GgWAvoR2rN4	Assess, Check, Investigate
i9R8Kntgu68	Arm
U7AHSoCy3xY	Arrogant
E8qWxIMo9Go	Convert, Change, Transform
7qgJBHXKk_w	Cool
E4giXaIvfL4	Coolie
lFIJWp8REhc	Cow sign 2
1wmuh0pA2K8	Cow sign 1
JQBhg-9tIMk	Camera
KudvqLJTS1Y	Cycle
hPiBYy4_iVU	Bear (Sign_2)
G2ZoQS_t1dg	Demand Sign 2
qWp2hFVYn8M	Demand Sign 1
4oz8IiZnVkQ	Factory Worker
Xwbty21vYAA	He
dVYgKXvdCoA	Health
PCqrg9PmNtg	Low
hC60V6JVOno	Mosquito
kinxh41ZIQ8	Alcohol Sign 1
SdllzrSOBsg	alcohol Sign 2
3Q0aVfIF24w	above
p3WhyzUnR08	भारत (संकेत 5)
4XFDETsdZFQ	भारत (संकेत 4)
28vfw9Hxvn0	Narendra Modi Prime Minister
NAfWA-NMOOo	India (Sign 5)
T9a3ZQbP0uo	India (Sign 4)
--fkNZqv9p8	India (Sign 3)
0r8j9R2nffs	India (Sign 2)
cltsBNwU-FM	India
MFJvkGZLI6w	Bharat (Sign 4)
H3LDbalGX2g	Bharat
hZCs4zZG4k8	Bharat (Sign 3)
wZC_JQDjVfE	Bharat (Sign 2)
F0XOnYllyq0	Bharat (Sign 5)
60yaA5TNKqg	Bear
15dJFwsqI9A	Face
NsegUCXiNwM	Culture
LkSq_B-Cgos	Abstract
f5ZcOz5HK_g	Pole Vault
JsfKO_PcYRA	Forget
dQ4uOsIL5Tw	Fire Station
0y_M1ePIdho	नरेंद्र मोदी (प्रधान मंत्री)
j9CmnDGV5SI	Fit (Healthy)
kSnfBXxdlBc	Logo
NRLubHidxsM	Live in Relationship
nxvWn4uTQBU	भारतीय सांकेतिक भाषा में मानक हिंदी वर्णमाला
DSl1kAV081c	Blood Bank
_5vEKAsQScM	Doner
SC1KrHBMNsE	Eye Bank
vKIWFUyc74Y	Graft
BMilhEuha1o	Guinea pig
GXxArNYZzMg	Abrasion
FA_eywwcHOI	Abscess
VyoFMiSv9QQ	Achalasia
GqKzEIVZfq0	Acid  reflex disorder
UA9Z1qc5fb8	Acidity
mKwzX6HrX_I	Acidosis
OKj1ulEa14g	Acne
hSoGT7DKZPM	Acromegaly
40f9x0KQKpE	Acute Coronary Syndrome
-5dVGIsVxeg	Addict
3_coVAps7t0	Adenoids
mTUNdDVfA2w	Adipsia
qq--OIvn7EY	Adulteration
5UVVdrbUwXo	Aedes
l81CunYEK68	Agnosia
v0NbSnzhTiE	Abortion
DekJpvfhYCc	Blood transfusion
jd0iNr8alTY	Biopsy
6sIMBeJyCjc	Bariatrics
NqJXrk08Cxo	Auscultation
M_SWMaC7quE	Angioplasty
YrxXSdgC3aA	Anaesthetists
PcfYaJIZD68	Acute
FMCbhrf2pko	Acupuncture
XIaaQui2les	Abstinence
0B_muxafhU4	Bowel Rest
puGmHYhiQe0	Pregnancy Test
0Ke6jCm714s	Plaster
ly6u4l5mNGI	Oral Rehydration Therapy
H60QZ6yQV8c	Nebulization
oEBPeX8fUMc	Myomectomy
mW9ZlfYXofQ	Lumber Traction
sPS85KZhRcU	Liver Transplantation
SmbKTL6SQfg	Implant
XENjOXp09tE	Hysterectomy
vTJQMPj9kj4	HIV Screening
v3toqcPOnXc	Hemodialysis
AnDu-m5xEX4	Grafting
58v69FyKi6A	Euthanasia
7wqMQGM_N-c	Donation, Organ
DjrJJYwJtq8	Disinfection
u4AfpULoK0M	Detoxification
MSv3UG1Csvc	Dental Examination Mirror
dvjqjFFee6E	Debridement
WO0VfvB24e8	Cry Therapy
j6aesOpub4E	Coronary artery bypass surgery
QFL8TssejiQ	Contraception
xkMwGGtKXjU	Cervical Traction
nfqHxmPR-FA	Casarean section
6LTUrM6MH08	Bronchoscopy
twS5BpTdL5w	Shortwave Diathermy
iv-Kad2xyiA	Resuscitation
pbjhBjESESQ	Rehabilitation
IAbloDB94LI	Quarantine
Wtu3ksF0L4Y	Tonsillectomy
HebA083yCK0	Tourniquet
mC8y05CdWFA	Tracheotomy
JaBqBYUg7II	Transplantation
_r_z0G_jOmc	Dressing
av2EdOGH_JA	Vaccination
faIi5y6S4Aw	Adolescence
8_203e6oftI	Androgen
x0HxTomIF8c	Andropause
g0o4SScdPU0	Antibody
BMxDd2mAyBI	Phlegm
6pEmsQsJNMs	Perspiration
LBi8QvGabAw	Palliation
MfAjUyAmPBc	Nervous
_Q9Pz4dCYqk	Menopause
utet9FuCaVE	Melatonin
aPwZZ7LvIK8	Maternity
RoZ7LVMCMGU	Luteinizing Hormone
T4vlUpByAv4	Lactation
y3FpDzpuD4s	Labour
ylGfOqZq3AM	Hemoglobin
TjU4GC5nFkw	Heartbeat
ti9vouC4MtI	Granulation
f059jSXLyCQ	Electrolysis
wmV3sn178y0	Digestion
2R0PhBIsv-w	Digestible
rfciRz4AkDM	Cholesteral
VeWvuO68cYM	Carbohydrates
hONUHYOdjag	Calcium
YtfS52B-e50	Bruise
Gulb5Hhq5Qg	Blood pressure
nxVzCzlJRUo	Blood Group
urM-12P0Sew	Bile
-5b46--Nrig	Atrial Natriuretic Peptide
N1O8seH_Qes	Anti Mullerian Hormone
1GIV73S87_E	Antidiuretic Hormone
eQc8RW8p6rA	Anticoagulant
7IRe9rGmEKM	Platelet
muZYTR0Snk4	Urine
arT55jm4G3E	Thyroxine
RP4mQKvjJ2w	Thyroid Hormone
pnxG_HqF9_E	Testosterone
X7ztn5I1EIc	Symptom
nNZD8NghbHM	Steroid
1QzKkjrF80c	Sputum
TCStPe2qtuU	Somatostatin
E3LF00Y1JoE	Snore
ATKh95NOBbY	Sneeze
l_ua5q91-gw	Pulse
FIFXtIcBoAw	Puberty
QO0cRRrPie0	Protein
9a9o0vPAX7o	Prostaglandins
WPn6N6JWNp0	Prolactin
DHn3yAr0DqI	Pregnancy
drAcfChx3kU	Quickening
Oe1E5T1WMII	Amalgam
bdiopCjCAWo	Autoclave
jjboaLIu6A8	Audiometer
sssxISFa3wo	Amalgamator
sssxISFa3wo	Amalgamator
Woqgmy-XJsY	Anaesthetic Machine
gFxughV5CPk	Audiogram
vZtAxwScarM	Automatic Film Processor
9kXr2ginJ78	Autopsy Instruments
j7th_B6LwRM	Autopsy Table
yJxtx2RgYLk	Baby Cot
DTZRjsfCSy0	Bag Mask Device
nX5g4L3m7-0	Beaker
rYvMuJC922k	Bed Cradle
CgdvRPqPTeQ	Bench Press
WO96KiJYBE0	Bifocal
9mnXOUqAtys	Bilirubin Meter
cPnESH9RUKI	Binocular Microscope
BwtKk6KJaU8	Blood Bank Refrigerator
dXFhZB1B0FY	Blood Infusion Set
jetzqn_A7zA	Blood Lancet Disposable
U4F1Fvuvk_s	Blood Pressure Cuff
CwezyUjYKc8	Bp Machine
XlbFjkxjm68	Brace
NEdE-g3H18A	Braille
yoXwGxQ2JUA	Caesaerian Section Set
coUzucbkEmY	Calipers
jc8abpeMkPE	Calorimeter
TIEGa8ZrSoo	Cannula
C2WgZRrdfHM	Catheter, Foley
zFYndOOWmAQ	Cautery Machine
oPku3yBToI0	Centrifuge Tube Conical
EJt_YBFFjSA	Centrifuge
pqY8GGdKt8Q	Chest Expander
gWG9jnptqA4	Cold Room
w0jwWxiE3AU	Commode Chair
CkVZ5QkTtUI	Contact lens
-wnfU1baiM0	Cool Box
aLxzezyZE8I	Crash cart
Phmjpxky2_I	Crutches
nLzcvGTGNKI	Delivery Bed
QlfJRBBWgr0	Dental Chair
TJk_moEhRdk	Dental Compressor
JnaLTWPrp0U	Dental Lab
3ga1Wrb-SXw	Dental X Ray
bTvnEJxWvWg	Denture
Fw_x6q5o29I	Discharge Summary
5RwCFCZ93zA	Ear Plug
E-dLyn6zkKI	Ecg Monitor
QSKR-3Lu8O8	Echocardiogram
wPrACCVRSq4	Elbow Conformer
AYa2lJYPhOg	Electrode
tzr5iVYC5gc	Endoscope
J_TTPQf7fTw	Exercise Mat
oDgLiNqUexY	Exerciser Mirror
Nr-_pjsSoAA	Eye Chart E Type
d8onff1M3Mc	Eye Chart
MlVXU4YUvGk	Fetoscope
tmyyPzMlxg4	Film Drier
z4ZwAwwSW8Y	Film Hopper
U3il9YoBvyw	First aid
F2v22SUESTE	Foley catheter
YuLbeMmul2w	Forceps
FVzT_6e_CCI	General X Ray Unit
bel4Z2OJsis	Glove
AmGwC7K8vSA	Handrab
hBEaEVUkcCg	Electroencephalography
fkR7e3yulBc	Hdu High Dependency Unit
VaUgddGGtfo	Infant Weighing Scale
aXBj61PT3_c	Icu Intensive Care Unit
Q_xyy0yW0dQ	Infra Red Radiation Irr Craddle
B5b63XYuvX0	Infusion Stand
i4RHVdKocjY	Tuberculin Skin Test
pXJsrO34AHM	Troucher And Canulla
UePmO-0tvCc	Trolley, MedicineDrug
wt2SFWMdDPY	Trolley, Linen
zIIrXDtCGYw	Trolley, Instrument
igBE2NRIEsw	Trolley, General Purpose
M8uUF8J4-Zs	Trolley, Dressing
h4WQ8i8cnA8	Tripod
UVUCajVUa30	Triple Marker Test
D2TRq7f8JVk	Trial Lens
wm2tusi9bDc	Tongue Depressors
55J86VtGovQ	Thermometers, Mercury
V1cNLcVgROQ	Thermometer Ear
wlofxJi1-iY	Theatre
zA_WsO-X1bQ	Theatre, Maternity
2-l6erp6MDQ	Telespectomy Set
mMRaT1kyCUg	Tablet Counter
1xtRLtax210	Syringe
N0LmF3HCv3E	Syringe and Needle
s13UfnfmIrE	Swab
t0RQg7O0LoU	Tuning Fork
XojmJPiREnI	Stemgnosis Set
8Iz0PLjQQa0	Suture
SSPeZdeWDg0	Stretcher
FU9z-TO1SiA	Stretcher with iv Pole
2hC-YqpvHh8	Stool Frame
oc2V9FCUrnQ	Stimulator, Electric
W2QntLcj2K0	Stethoscope
wOSBUixQN20	Stethoscope, Baby
ADthkMJAa7o	Sterilizer
dTa4QZpRPWE	Sterilising Drum
fgaDCWWq_QA	Tympanometer
PqScmehucBA	Ultrasonic Scalar
NeHXEmZnNBE	Ultrasonic Washer
dR3s6NsKkVE	Ultrasound Unit Sonography
f1yO_TP8_ro	X Ray Safe Light
S_2vZ4xCJvY	Uterine Sound
N4XzDi0_Fho	Vaccine Transport Box
9ubXHX10G6w	Vision Loss And Blindness
aWfUEq1O70w	Vital Signs Monitor
0UkKwqtknQ8	Weighing Scale
ScJn3nfA21E	Weighing ScaleElectronic
hIYk61P40H4	Wax Knife
kKPQyWPMUF0	X   Ray
xzdhAz1xO1g	Wheel Chair
XVby6J5vyZE	X   Ray Viewer
-kVwMAj-iDY	Walking Frame
MRXOnutHEpg	Wall Bars
3KqRPRIn4Ww	Ward
GTCumFu-nRE	Wartenberg wheel
RtlhgxjEOvQ	Wax Bath
M2niw4txifU	X Ray Cassettes
0w3vjvHqfng	Veterinary Technologist
hE7vldqpDGk	Therapist
9Mo0t3duY0I	Toxicology
0CZLTY0AgHQ	Urologist
wS-bgdv15YI	Urology
dNzrxNaIZt8	Veterinarian
E0rr4SWrnx4	Adipose Cells
1Qzfe3Wo6ko	Anesthetic
NCLELxZRi6E	Cardiovascular Medicine
dnzONYfI_8s	Calamine
N35xISyVK3c	Birth contral pill
VVWDCpJzgWw	Bandage
LTCdXf3fbI0	Aspirin
nZeBIGxgMGs	Antiseptic
-CC0MUsnNRs	Antiperspirant
xvCNkQRQryw	Antimicrobial
roYZqUOY5Xg	Antiemetic
GoPUwUn8kxo	Antidote
nuc4Z93E5Rs	Antacid
WnP5Gwcw1t8	Anitibiotic
2GnXbVR9hx8	Antidepressant
bkC2d65-KBc	Antitussive
AlsvJb-zr4Q	Amoxicillin
1EkwSQwMjHg	Chemotherapy
s_5K8a1b7Oo	Contraceptive
IZR361xYzdQ	Eardrops
hwZ8qJXN0bs	Vaccine
kJc7lHoG_kk	Tablet
Kb7-MXZSVX0	Syrup
g0boqMSNgRc	Sunscreen
LtqBgQyR5_w	Suction Machine
7WUXROWEPV4	Sedative
DCBhjrloP4c	Reproductive Medicine
HO_Og8hTNeY	Relaxant
069uTEttRjE	Poliovirus Vaccine, Live Oral
HhsGI8UrQ_g	Poliovirus Vaccine, Inactivated
C4DRzU1R5Sc	Pediatric Medicine
0A0NDrlGXSk	HIV Screening Machine
8GLhda26WIA	Eyedrops
iBEraSY0yFc	Apocrine Sweat Glands
DzXiYPyE_bQ	Aorta
agIWPWV7VDY	Anus
RoQui0yWYbE	Ankle
gQ5pv65prgE	Anabolic agent
yodDFmxvp0U	Amputee
wNhhBljIM6w	Alimentary system
hpt0_OsNexw	Adrenal
puzgpA4bonw	Adam’s apple
XcCaTPWxHys	Achilles Tendon
VH_jup5Q5t8	Abdomen
xH7cVPdV-B8	Artery
Fb3uwES3REE	Axilla
rh-v6joOZfw	Ataxia
VuBNHaF1KRQ	Cartilage Cells Chondrocytes
tysoVWSYUxQ	Calf
bUJIS1yh21s	Cadaver
queCSJkIfZc	Buttocks Backside
H0DQ4C3chdE	Bulbourethral Glands, Cowper's Glands, Mery's Glands
oEeGUFvqao4	Breastbone Sternum
oE-QDJDaB8M	Breast
h2Q1bxiczic	Brain
e-1jrv077sE	Bowel
sQD89cxyLhY	Bone Cells Osteocytes
nJcv825wuUg	Blood Cells
THsfl_9mBTY	Bladder
kG9nSQhJMfw	Big toe
lN3lhmDe7gg	Belly button
ziaWcnZDf98	Back
hcMdx3N6uao	Cell
8Y8S30EILec	Central Nervous System
G3fGJrLN7-Y	Cervix
EWjv697qiPA	Conjunctiva
RB0DZemj6uc	Clavicle
Qr-q2ztzNpQ	Cheek
RZ8qnocAK4g	Cornea
35QeiSI0tYk	Eardrum
5sYucNR91YM	Fetus
LpXRQ2IRpJ4	Femur
6UnHsywpv10	Eyelash
-1xTr0jbg6Q	Eyebrow
HYaCr87n2Po	Esophagus
Rb5_f1EuK0c	Erythrocyte Red Blood Cell
1PNFMP2BwbU	Ent Ears, Nose, And Throat
7-AiaIwjkaQ	Endotracheal Tube
tc4xDApfdsI	Endocrine System
nh9gDYbx9-c	Enamel
VL0H549DfGg	Embryo
_cwcjme7GTM	Earlobe
8Z1ZcQMBEt4	Index Finger
JNYoHctG-a8	Hypothalamus
VFoQ8Kw6YeM	Jaw
eRxJmAOAOxo	Nauseous
dXbssYTBK_8	Nasal Cavity
xKBAOm52bJ0	Middle Finger
VUIAOg2cyyw	Forehead
NDZ488Me4VU	Fibula
MK0xe9rMMyg	Iris
8zUytFLkJLU	Human Nutrition
TNr5th4A5Q4	Hip Bone
GIQEx-V-eas	Meibomian Gland
BvAXi5xe7Nk	Maxilla
lTduRdHwTmM	Mammary Gland
zw5iClMskwg	Lunula
-E4GWSv9Wt0	Lung
ExfVE2XfMis	Liver
kH74VP0ieI8	Little Toe
dnpGDnEKHes	Little Finger
SUvtkqCdd-M	Large Intestine
-GlY54PRZWY	Lacrimal Glands
gu5hNIwuBpQ	Knee
AFI9CRiFC5s	Kidney
GMphL7O9gY0	Joint
uBJwrcY_yZI	Osteoclast In Bone
wWk9zKXHj0Q	Orbit
sNkfnhlTaeo	Olfactory Glands, Bowman's Glands
7iXq-ju84XQ	Nostril
D1gRalBWgU8	Nervous System
kw3w0JUYOGw	Ovary
x58s_288oPU	Palm
cPWJuVMHpig	Pinna
l29v73EUpCA	Patella
HJXrBrFgNJc	Parotid Gland
tEzuwy_sQys	Paranasal Sinus
joA2kDStJQI	Pancreas
uj7mJ5WRs6s	Skeleton
9s0V6jNblj8	Shoulder
Xqnx8BKYylI	Scapula
nJK3eTkAI-4	Scalp
ewZlvB_Bmeg	Salivary Gland
WFrewRdqflc	Saliva
d-OJ6p_oY7I	Ribs
nvbCWJyLk6k	Renal Pelvis and Ureter
EOnSHBy74jc	Prostate
V2dauMpeZ1c	Skin
YMRhWn6QFfo	Tibia
DgMtiOBLi3g	Thyroid Glands
96MGRALqWL8	Thymus Gland
Yr25lcwRZwY	Thumb
g9xlVkytBTw	Third Finger
EQ0QUM7dzr8	Thigh
BPtaxiqyuX8	Tendon
eSaayO4illE	Synovial Fluid
VWN6a9Td7e8	Spleen
-eq-7HjHyrs	Spine Backbone
o74f8R1bnSU	Small Intestine
jtcU1Uk6u4E	Skull
JHj0abFuLFo	Spasm
4VkM-BqH-yE	Sperm
9q8-TwRmmFo	Tonsil
BJPt1ZgaZ9g	Tooth
UYWw57pKy8k	Trachea
54OOt0NZL_Y	Ureter
WGVb8iBg8bw	Umbilical Cord
wVNLlU_Ahto	Vulvovaginal Glands
X7GLAqoxftI	Vocal Cord
hV8kNo1PqkM	Vertebra
15CuQFG3q1U	vein
dtxc8ayBZPM	Uterus
tfUX_ZRA5EM	Uterine Glands
2gOAcnU-9zY	Urethra
4FOSyeV0IW8	Essential Dietary Minerals
ufs8UQwgbmM	Vitamin A
MW6BHvkZkt8	vitamin
0z4j7KIIuMg	Vitamin K1
oHndBhZOzRM	Vitamin D
boBogxXTyug	Vitamin C
sj2AdMv2V_Q	Vitamin B12
GQaDPWbXZ9U	Vitamin B9
fCyJ5OafzTA	Vitamin B7
aZnyu4FeguU	Vitamin B6
zXY-2t1zfYc	Vitamin B1
0a51D0G_wn4	Vitamin B5
TRFZEQ6kmUA	Vitamin B3
rXZPpaK_tEc	Vitamin B2
fuL0QaOXYj0	Anoxia
XwKztgOU4yw	Anorexia
ibGQyoqUqpQ	Anorehidism
YC0LCH7GvMU	Tachycardia
rweaHR379aI	Testicular Cancer
P-oG9CeuS4I	Throat Cancer
LTO9KRks2-M	Thrombocytopenia
4wqBJezfogQ	Thyroid Cancer
5fN7qY2lGO0	Thymoma and Thymic Carcinoma
aCAQq921f0U	Tinnitus
fWPVDCfrFi8	Toothache
5UaPoA0jScg	Tremor
mt-YaWX0jVs	Tuberculosis
QKnVF-YT1uE	Tumors
NUULNeUf5T0	Ulcers
eEWqKj6dMv0	Urinary Incontinence
Xmd7hkATobc	Urinary Retention
DDHGNZufBiY	Tonsillitis
I9YmghpFPo4	Thyroid Disease
rEntlrdAMZY	Urinary Tract Infection
PnAX-krAmqA	Urticaria
Gf2GteMEkMo	Vaginal Cancer
coNHXV2RX7o	Yellow Fever
bZtx6IdpY40	wound
csfcm9JhHU0	Women's Cancers
RugvpBBIDcQ	Starvation Diet Example
s42rKQoFo2w	Starvation
Y8CUz2MWiQg	Stroke
rjOG3uV-rho	Suicide
_an9Dv5i6HQ	Sunburn
FCQQ-eG7FeA	Suntan
UbOfCVsPMqI	Surform
GEhDb55rdFc	Swelling
gpPeUmKSCzc	Syncope
NWkkjO9eMzQ	Syphilis
Y_768f6Ywho	Syndrome
GjI5gtWoVdU	Stomach Gastric Cancer
Sh6mZqkZoYM	Scrabble
UxMJjOGvrRQ	Scoliosis
VYvWsLytZeA	Sciatica
XEIEr26UEkk	Scar
64hb_H9Pwls	Scabies
85f2uqhmaVg	Seizure
T7iUS2swiPY	Squamous Cell Carcinoma,See Skin cancer
YMtdI-d3ne4	Sprain
ftEAdjz_XFM	Spondylitis
5yPBsA1jnYY	Spinal Cord Injury
USz2QmWWMfg	Speech And Language Disorders
v2CJx3-RXGU	Small Intestine Cancer
XPJ4nDAusVA	Small Cell Lung Cancer
dQxLLGQqzqs	Sleepwalking
-v-v0cGZabE	Sleep Apnea
CYj3k57VvtA	Skin Disease Lupus
-JS7r8WInfM	Skin Cancer
u5Wwx2Yplxw	Sinusitis
RhvXS0jjk-8	Shigella Dysenterie
UwiQwimLTEs	Sexually Transmitted Disease
OcIpyNKSU8Q	Sepsis
Nf5MjQDvwag	Squint
3nfdWxiduFw	Palliation
zz9eTk0JhZI	Rhino Virus
JRVxpFW5Ud0	Regurgitation
EnZ00HTRkrU	Quadriplegia
7cHW8EDmWb0	Physical Disability
-TfZwYZtkpE	Rabies
khJz-kNeBpQ	Proteinuria
2aEl2dPAocE	Pimple
DnXdEGWx7kI	Psoriasis
wWpV5qFZh7Y	Pneumonia
0kqKVPcOSPo	Pox
KiFiAI4bfz4	Paranasal Sinus and Nasal Cavity Cancer
Tmr9RzqHvFA	Polyuria
bogcg__u534	Prickly Heat
5to0657S8_E	Presbyopia
